Name,Year_of_Release,Genre,Platform_Name,Publisher_Name
Asteroids,1980,Shooter,2600,Atari
Missile Command,1980,Shooter,2600,Atari
Kaboom!,1980,Misc,2600,Activision
Defender,1980,Misc,2600,Atari
Boxing,1980,Fighting,2600,Activision
Freeway,1980,Action,2600,Activision
Bridge,1980,Misc,2600,Activision
Checkers,1980,Misc,2600,Atari
Pitfall!,1981,Platform,2600,Activision
Demon Attack,1981,Shooter,2600,Imagic
E.T.: The Extra Terrestrial,1981,Action,2600,Atari
Ms. Pac-Man,1981,Puzzle,2600,Atari
River Raid,1981,Shooter,2600,Activision
Centipede,1981,Shooter,2600,Atari
Atlantis,1981,Shooter,2600,Imagic
Megamania,1981,Shooter,2600,Activision
Cosmic Ark,1981,Shooter,2600,Imagic
Donkey Kong Junior,1981,Platform,2600,Atari
Custer's Revenge,1981,Action,2600,Mystique
Alien,1981,Action,2600,20th Century Fox Video Games
Air Raid,1981,Action,2600,Men-A-Vision
Berzerk,1981,Shooter,2600,Atari
King Kong,1981,Action,2600,Tigervision
Adventures of Tron,1981,Action,2600,Mattel Interactive
BurgerTime,1981,Puzzle,2600,Mattel Interactive
Smurf: Rescue In Gargamel's Castle,1981,Action,2600,Coleco
Raiders of the Lost Ark,1981,Action,2600,Atari
Grand Prix,1981,Racing,2600,Activision
Phoenix,1981,Simulation,2600,Atari
Jawbreaker,1981,Action,2600,Tigervision
Barnstorming,1981,Action,2600,Activision
Mouse Trap,1981,Action,2600,Coleco
Laser Blast,1981,Action,2600,Activision
Airlock,1981,Action,2600,Data Age
Dragonfire,1981,Action,2600,Imagic
Frogs And Flies,1981,Action,2600,Mattel Interactive
Fantastic Voyage,1981,Action,2600,20th Century Fox Video Games
Carnival,1981,Shooter,2600,Coleco
Fireball,1981,Action,2600,Starpath Corp.
Astroblast,1981,Action,2600,Mattel Interactive
Fast Food,1981,Action,2600,Unknown
RealSports Football,1981,Sports,2600,Atari
Front Line,1981,Action,2600,Taito
Dark Cavern,1981,Shooter,2600,Mattel Interactive
